time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-22T10:45:40.740Z,33.2425,-116.8111667,15.826,1.36,ml,49,50,0.0444,0.19,ci,ci37405712,2015-06-22T10:49:42.911Z,"4km W of Lake Henshaw, California",earthquake
2015-06-22T09:52:42.740Z,33.3256667,-116.2776667,11.093,1.22,ml,43,42,0.1301,0.18,ci,ci37405704,2015-06-22T10:03:36.870Z,"12km NE of Borrego Springs, California",earthquake
2015-06-22T09:29:17.000Z,59.9434,-152.595,90,1.7,ml,,,,,ak,ak11631820,2015-06-22T09:46:44.589Z,"46km WNW of Anchor Point, Alaska",earthquake
2015-06-22T09:13:40.870Z,-33.8174,-70.3002,104.08,4.5,mb,,58,0.367,0.59,us,us10002kts,2015-06-22T10:27:23.436Z,"34km SE of Puente Alto, Chile",earthquake
2015-06-22T09:10:08.740Z,33.599,-116.814,9.688,0.77,ml,25,59,0.04185,0.08,ci,ci37405696,2015-06-22T09:14:09.486Z,"14km WNW of Anza, California",earthquake
2015-06-22T08:59:02.000Z,60.2564,-141.0063,1.4,0.8,ml,,,,1.24,ak,ak11631817,2015-06-22T09:25:13.437Z,"81km ENE of Cape Yakataga, Alaska",earthquake
2015-06-22T08:25:38.000Z,59.9338,-141.5975,0.5,1.9,ml,,,,0.88,ak,ak11631805,2015-06-22T08:42:18.059Z,"48km ESE of Cape Yakataga, Alaska",earthquake
2015-06-22T08:15:57.000Z,62.8388,-150.6328,73.3,1.8,ml,,,,0.74,ak,ak11631802,2015-06-22T08:42:19.402Z,"63km NNW of Talkeetna, Alaska",earthquake
2015-06-22T08:06:19.000Z,59.8167,-153.2573,128.9,1.4,ml,,,,0.69,ak,ak11631798,2015-06-22T08:42:18.852Z,"79km SSW of Redoubt Volcano, Alaska",earthquake
2015-06-22T07:57:37.410Z,38.8380013,-122.8078308,2.5,1.35,md,19,115,0.01366,0.03,nc,nc72470376,2015-06-22T07:59:12.180Z,"7km WNW of Cobb, California",earthquake
2015-06-22T07:47:35.510Z,34.0053333,-117.5891667,4.181,1.08,ml,39,73,0.0229,0.18,ci,ci37405688,2015-06-22T07:52:01.452Z,"6km SE of Ontario, California",earthquake
2015-06-22T07:35:41.147Z,37.3285,-114.8026,3,1,ml,11,329,0.967,,nn,nn00499522,2015-06-22T07:37:35.760Z,"32km E of Alamo, Nevada",earthquake
2015-06-22T07:26:35.560Z,33.553,-116.6023333,14.018,0.39,ml,17,115,0.008892,0.1,ci,ci37405680,2015-06-22T07:30:31.019Z,"7km E of Anza, California",earthquake
2015-06-22T07:24:23.000Z,60.8122,-151.5823,59.8,1.1,ml,,,,0.26,ak,ak11631795,2015-06-22T07:56:39.220Z,"20km NW of Nikiski, Alaska",earthquake
2015-06-22T07:22:21.860Z,38.833168,-122.8079987,2.75,0.85,md,11,95,0.009892,0.02,nc,nc72470366,2015-06-22T07:23:55.920Z,"7km W of Cobb, California",earthquake
2015-06-22T07:12:42.310Z,38.8170013,-122.7633362,2.38,0.71,md,9,100,0.01406,0.02,nc,nc72470361,2015-06-22T07:14:15.850Z,"3km W of Cobb, California",earthquake
